,sentiment,totalScores,positive,negative
2018-03-09 00:00:00,0.11428487394957984,714,0.83,0.17
2018-03-10 00:00:00,0.1684171974522293,157,0.91,0.09
2018-03-11 00:00:00,0.11903720930232559,129,0.84,0.16
2018-03-12 00:00:00,0.09584063260340633,822,0.82,0.18
2018-03-13 00:00:00,0.06846950904392765,1161,0.77,0.23
2018-03-14 00:00:00,0.05592540880503145,795,0.78,0.22
2018-03-15 00:00:00,0.0961655629139073,906,0.8,0.2
2018-03-16 00:00:00,0.06842047244094489,635,0.79,0.21
2018-03-17 00:00:00,0.05014237288135594,118,0.85,0.15
2018-03-18 00:00:00,0.06382327586206897,116,0.82,0.18
2018-03-19 00:00:00,0.026239842519685037,635,0.73,0.27
2018-03-20 00:00:00,0.0953049576783555,827,0.84,0.16
2018-03-21 00:00:00,0.0895916864608076,842,0.8,0.2
2018-03-22 00:00:00,0.012313770491803279,915,0.74,0.26
2018-03-23 00:00:00,0.030266490166414525,1322,0.74,0.26
2018-03-24 00:00:00,-0.014848255813953489,172,0.76,0.24
2018-03-25 00:00:00,0.045907,200,0.82,0.18
2018-03-26 00:00:00,0.10622010869565217,920,0.8,0.2
2018-03-27 00:00:00,0.044731493212669685,1105,0.77,0.23
2018-03-28 00:00:00,-0.003932978357952594,2911,0.73,0.27
2018-03-29 00:00:00,0.04343160854893138,2667,0.78,0.22
2018-03-30 00:00:00,0.030155020080321285,249,0.84,0.16
2018-03-31 00:00:00,-0.038707311320754716,424,0.76,0.24
2018-04-01 00:00:00,-0.039707052896725444,397,0.79,0.21
2018-04-02 00:00:00,-0.027383085808580857,2424,0.72,0.28
2018-04-03 00:00:00,0.01999729416312331,2587,0.79,0.21
2018-04-04 00:00:00,0.0996108108108108,1554,0.81,0.19
2018-04-05 00:00:00,0.08828394957983193,1190,0.82,0.18
2018-04-06 00:00:00,-0.0027322207084468668,1468,0.77,0.23
2018-04-07 00:00:00,0.03639579831932773,238,0.84,0.16
2018-04-08 00:00:00,0.019352097902097902,286,0.81,0.19
2018-04-09 00:00:00,0.0005597613882863341,922,0.75,0.25
2018-04-10 00:00:00,0.08674212499999999,800,0.85,0.15
2018-04-11 00:00:00,0.11619986052998604,717,0.85,0.15
2018-04-12 00:00:00,0.11931279069767442,602,0.83,0.17
2018-04-13 00:00:00,0.0578132253711201,741,0.82,0.18
2018-04-14 00:00:00,0.05385333333333333,165,0.81,0.19
2018-04-15 00:00:00,0.023590506329113924,158,0.84,0.16
2018-04-16 00:00:00,0.08075171821305842,582,0.83,0.17
2018-04-17 00:00:00,0.10846132158590309,1135,0.82,0.18
2018-04-18 00:00:00,0.1103240573152338,1326,0.83,0.17
2018-04-19 00:00:00,0.12281323011963405,1421,0.83,0.17
2018-04-20 00:00:00,0.09015788442703232,1021,0.8,0.2
2018-04-21 00:00:00,0.11193507853403141,191,0.94,0.06
2018-04-22 00:00:00,0.16087916666666666,216,0.94,0.06
2018-04-23 00:00:00,0.10132250922509226,813,0.83,0.17
2018-04-24 00:00:00,0.03393173150266972,1311,0.78,0.22
2018-04-25 00:00:00,0.0949328233657858,1438,0.82,0.18
2018-04-26 00:00:00,0.11507953677172875,4188,0.83,0.17
2018-04-27 00:00:00,0.07763653902367729,3421,0.78,0.22
2018-04-28 00:00:00,0.0582702786377709,323,0.81,0.19
