Date,Open,High,Low,Close,Volume,Volatility,sentiment,RSI
2019-10-29,281.87,284.41,277.545,281.2,4050973,0.003449266538540183,0.041058940397350994,51.927543949723876
2019-10-30,284.34,293.49,283.0,291.45,8937016,0.08075227013698531,0.009090566037735849,58.780580716608895
2019-10-31,291.0,291.45,284.78,287.44,4539908,0.02053948992071113,0.06234488636363636,55.45019149975651
2019-11-01,288.7,289.12,283.02,286.975,5242894,0.011493512718605986,0.0558,55.06061260417084
2019-11-04,288.0,295.39,287.16,292.99,5110430,0.032407877874010414,0.10286195652173913,59.066835046625464
2019-11-05,289.99,291.19,286.31,288.03,3685414,0.009179836722587952,0.05701381215469613,54.73378114914448
2019-11-06,288.19,290.56,285.84,288.59,2950826,0.001500017054366504,0.03451778846153846,55.133964594441295
2019-11-07,290.7,298.19,288.2679,289.58,5518868,0.007855261251674812,0.052104861111111116,55.876616935923366
2019-11-08,288.73,293.99,287.505,291.57,3882499,0.014012715241862572,-0.1108407258064516,57.40295215994726
2019-11-11,289.16,296.36,288.5,294.18,3608028,0.02301792763603601,0.009581773399014778,59.38728822820447
2019-11-12,295.32,295.345,288.7,291.9,5471614,0.02378122172994589,-0.029014344262295082,56.893951986666316
2019-11-13,291.03,293.41,281.14,283.02,8859834,0.09018840471434447,-0.051586225895316806,48.375250765099665
2019-11-14,283.31,290.63,283.22,289.66,6162245,0.04972849209571024,0.036194299287410935,53.93000954074684
2019-11-15,290.59,295.8186,287.568,295.0,6080455,0.034077464356201584,0.11764271604938273,57.85725403832658
2019-11-18,295.81,304.99,293.28,302.62,7959540,0.06888547945800418,0.08409416909620991,62.738478705782754
2019-11-19,304.01,305.6699,298.5201,302.54,5245156,0.009798697445761995,0.030623308270676688,62.65642630610221
2019-11-20,301.01,308.25,301.0,305.29,4655478,0.02532215435259316,0.07102460317460317,64.38094189431763
2019-11-21,305.9,312.69,304.2622,311.7,7140056,0.052628648267441534,0.07326037735849057,68.0810152643425
2019-11-22,309.1,311.4,304.41,310.49,5587669,0.009870475524375243,0.001109322033898305,66.67305536172972
2019-11-25,308.83,315.73,305.25,315.68,7288534,0.06344879223149365,-0.04541412639405205,69.57910434573238
2019-11-26,315.76,316.5,311.69,312.02,3695548,0.017564793717387544,0.02047188940092166,65.25758147667017
2019-11-27,313.5,316.82,312.75,315.93,3724569,0.011502040749777577,0.07677191011235955,67.57457098783618
2019-11-29,315.78,316.62,313.34,314.71,2186734,0.002973530101316272,0.09595974025974026,66.09345112474296
2019-12-02,314.39,314.39,303.75,310.02,5582538,0.031003143393628238,0.03448454545454545,60.59498809896907
2019-12-03,302.22,307.36,301.88,306.13,4468516,0.022204074649052327,-0.024390449438202247,56.40366046212788
2019-12-04,308.43,308.43,303.2727,304.28,3311043,0.01746246391360063,0.071625,54.4738708950657
2019-12-05,305.27,306.48,298.81,302.87,4356286,0.013286794871059871,0.09880466321243522,52.98589796277538
2019-12-06,304.7,307.8495,302.6,307.27,4082452,0.0133335813368331,0.2606614379084967,56.938759298718956
2019-12-09,307.35,311.49,302.44,302.4795,5221077,0.032316643689424815,0.1277902953586498,51.82933550069181
2019-12-10,296.12,298.94,292.02,293.33,9961504,0.03532008344877307,-0.014209799999999996,43.75364971446914
2019-12-11,294.35,299.43,294.2,298.86,5013366,0.028734163412223387,0.003036797752808989,48.93279738128356
2019-12-12,295.67,299.165,295.06,298.44,4352852,0.015323087240081487,0.07023260869565218,48.567022174033234
2019-12-13,298.5,301.8,297.25,298.5,3562853,0.0,0.03672713178294574,48.626102567446544
2019-12-16,300.85,305.71,298.63,304.1,4193124,0.01731863545240385,0.06328029197080291,53.943664417217484
2019-12-17,307.36,316.8,306.6,315.41,9205110,0.09417106176196907,0.07473935742971888,62.40691601515561
2019-12-18,316.21,325.36,315.6,320.4,9712571,0.051717894221751146,0.039368008048289736,65.42564792312251
2019-12-19,324.5,332.83,324.18,332.22,8918881,0.08750246222353249,0.0970439672801636,71.3038199668518
2019-12-20,335.0,338.0,330.6,336.97,8646252,0.021646451831633145,0.11028436781609197,73.2705260914959
2019-12-23,337.76,337.95,331.0201,333.1,4827496,0.02858909733856794,0.1143734939759036,69.11442484398243
2019-12-24,334.01,335.7,331.6,333.28,1887333,0.0017509107040760096,0.044975700934579435,69.20192857165652
2019-12-26,334.6,336.4623,332.01,332.62,3268244,0.008223794829740913,0.11484731182795697,68.43630808177069
2019-12-27,332.96,333.82,326.01,329.09,4620963,0.022726683308673924,0.06946052631578947,64.33645822874693
2019-12-30,329.08,329.185,322.86,323.31,3879738,0.028449249608885438,0.11945357142857145,58.18945443518988
2019-12-31,322.0,324.916,321.09,323.53,3228786,0.006278028693742866,0.0963812030075188,58.352562016647816
